epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.08,2.15923,4.8904,2.49352,7e-05,0.02954,0.00185,0.00092,2.37325,5.3095,2.88698,0.0001104,0.0001104,0.0001104
2,469.385,1.92864,4.79736,2.21557,7e-05,0.03015,0.00464,0.00127,2.32215,5.26822,2.77434,0.000214243,0.000214243,0.000214243
3,733.365,1.75407,4.56831,2.09316,0.04008,0.0415,0.01181,0.00238,2.23018,5.18075,2.73033,0.0003067,0.0003067,0.0003067
4,968.616,1.75486,4.3519,2.08018,0.08295,0.1047,0.05603,0.02583,2.19527,4.94132,2.6809,0.000293768,0.000293768,0.000293768
5,1210.73,1.71261,4.24575,2.0791,0.13675,0.18835,0.05798,0.02391,2.20803,4.66083,2.70013,0.00027669,0.00027669,0.00027669
6,1453.43,1.76086,4.14683,2.12861,0.09173,0.29087,0.08749,0.03198,2.19394,4.85987,2.67583,0.000259612,0.000259612,0.000259612
7,1653.6,1.67313,3.96944,2.06581,0.32182,0.16986,0.12721,0.05298,2.15913,4.65923,2.66558,0.000242535,0.000242535,0.000242535
8,1851.83,1.62283,3.68036,2.01183,0.26141,0.2348,0.16429,0.06403,2.15171,4.59818,2.66662,0.000225457,0.000225457,0.000225457
9,2050.51,1.58954,3.56484,1.99627,0.29692,0.20424,0.17627,0.0817,2.12497,4.57363,2.63511,0.00020838,0.00020838,0.00020838
10,2278.08,1.64105,3.53565,2.01289,0.33072,0.26879,0.19918,0.09382,2.11384,4.62822,2.63108,0.000191303,0.000191303,0.000191303
11,2513.01,1.54297,3.73211,2.08629,0.21714,0.30979,0.20211,0.09166,2.14347,4.66072,2.69137,0.000174225,0.000174225,0.000174225
12,2727.54,1.55907,3.51823,2.05864,0.30895,0.32397,0.24357,0.10413,2.1471,4.5175,2.7167,0.000157147,0.000157147,0.000157147
13,2923.82,1.45784,3.46136,1.99548,0.40607,0.31501,0.26468,0.10968,2.14338,4.4751,2.70631,0.00014007,0.00014007,0.00014007
14,3119.63,1.44883,3.24146,1.98498,0.51353,0.29242,0.29599,0.1174,2.11582,4.37908,2.69663,0.000122992,0.000122992,0.000122992
15,3314.91,1.43683,3.33725,1.95459,0.56809,0.31172,0.32067,0.12704,2.13677,4.3595,2.70371,0.000105915,0.000105915,0.000105915
16,3522.12,1.41665,3.32567,1.92464,0.61281,0.3047,0.3237,0.13597,2.12782,4.48056,2.73328,8.88375e-05,8.88375e-05,8.88375e-05
17,3733.33,1.35851,3.0703,1.88499,0.64487,0.2767,0.33487,0.14429,2.10411,4.38995,2.70669,7.176e-05,7.176e-05,7.176e-05
18,3932.5,1.34122,3.09413,1.88125,0.44577,0.37592,0.34398,0.15424,2.07715,4.36209,2.68942,5.46825e-05,5.46825e-05,5.46825e-05
19,4134.39,1.2969,3.00985,1.86458,0.53121,0.36541,0.35247,0.15569,2.06105,4.21267,2.68365,3.7605e-05,3.7605e-05,3.7605e-05
20,4335.72,1.30382,3.00621,1.83507,0.54262,0.35157,0.35854,0.16143,2.05367,4.03938,2.66297,2.05275e-05,2.05275e-05,2.05275e-05
